Country,Longitude,Latitude,Color
El Salvador,-88.8965,13.7942,Yes
Angola,17.8770032,-11.2135241,Yes
Armenia,44.67366,40.76963,Yes
Bangladesh,90.29344,24.47693,Yes
Burundi,29.93245,-3.42645,Yes
Congo,17.66522,-0.64949,Yes
Costa Rica,-84.07391,10.27356,Yes
Egypt,26.25405,29.26755,Yes
Eswatini,31.39913,-26.56248,Yes
Gambia,-15.49005,13.47006,Yes
Ghana,-1.08003,8.03003,Yes
India,78.66774,22.35111,Yes
Namibia,17.32311,-23.23355,Yes
Senegal,-14.45296,14.47506,Yes
Sudan,29.49177,14.58444,Yes
Uganda,32.21666,1.53336,Yes
Zambia,27.55899,-14.51891,Yes
Jordan,36.94163,31.16670,Yes
Honduras,-86.07551,15.25724,Yes
Madagascar,46.44164,-18.92496,Yes
Maldives,73.32879,4.70644,Yes
Rwanda,30.06444,-1.96466,Yes
Nigeria,7.99997,9.60004,Yes
Dominican Republic,-70.30280,19.09740,Yes
Morocco,-10.37134,28.33477,Yes
Palestine,34.43543,31.52255,Yes
Malawi,33.93020,-13.26872,Yes
Liberia,-9.36585,5.74997,Yes
Mongolia,103.84997,46.82504,Yes
Lesotho,28.33502,-29.60393,Yes
Mauritania,-9.23993,20.25404,Yes
Sierra Leone,-11.84003,8.64003,Yes
Mozambique,34.91450,-19.30223,Yes
Paraguay,-58.16934,-23.31659,Yes
Haiti,-72.35710,19.14000,Yes
Guinea,-10.70836,10.72262,Yes
Kenya,38.43140,1.44197,Yes
Nepal,84.09171,28.10839,Yes